Verordnungsname,Kürzel,Veröffentlichung,Inkrafttretung,Außerkrafttretung,NRW Ministerium,wo gültig,nicht gestattete Aktivität,verpflichtende Aktivität,für wen gültig,Ausnahmen,Schlagwort(e),Begriff 1 (LEMMA,FREQUENCY,),Begriff 2 (Häufigkeit Platz 2),Begriff 3 (Häufigkeit Platz 3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 ,CoronaSchVO,22.03.20,23.03.20,10.05.20,Arbeit Gesundheit und Soziales,Stationäre Gesundheits- und Pflegeeinrichtungen, Freizeit-, Kultur-, Sport- und Vergnügungsstätten, Bibliotheken, Hochschulbibliotheken, Handel, Sonntagsöffnung, Handwerk, Dienstleistungsgewerbe, Beherbergung, Tourismus, Gastronomie, Einkaufszentren ,Veranstaltungen, Versammlungen, Gottesdienste, Beerdigungen, Ansammlungen, Aufenthalt im öffentlichen Raum,,Reiserückkehrer aus Risikogebieten,Bevölkerung,,Grundversorgung, RKI-Richtlinien, Schutzauflagen, Besucherregistrierung, Kontaktdaten, Besucherzahl, Mindestabstände, Hygienemaßnahmen, 2 Meter, kontaktfrei, Umkreis von 50 Metern, Steuerung des Zutritts, Vermeidung von Warteschlangen, Gewährleistung des Mindestabstandes von 1,5 Metern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 in Bezug auf Ein- und Rückreisende – Coronaeinreiseverordnung,CoronaEinreiseVO,01.07.20,02.07.20,15.07.20,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 im Bereich der Betreuungsinfrastruktur – Coronabetreuungsverordnung,CoronaBetrVO,01.07.20,02.07.20,15.07.20,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berichtigung der Coronabetreuungsverordnung,,02.07.20,,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neunte Verordnung zur Änderung von Rechtsverordnungen zum Schutz vor dem Coronavirus SARS-CoV-2 ,,06.07.20,07.07.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zehnte Verordnung zur Änderung von Rechtsverordnungen zum Schutz vor dem Coronavirus SARS-CoV-2,,12.07.20,02.07.20, 15.07.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur Änderung der Zehnten Verordnung zur Änderung von Rechtsverordnungen zum Schutz vor dem Coronavirus SARS-CoV-2,,13.07.20,15.07.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur Änderung der Coronaeinreiseverordnung vom 1. Juli 2020,CoronaEinreiseVO,17.07.20,18.07.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 – Coronaschutzverordnung,CoronaSchVO,11.08.20,12.08.20,31.08.20,Arbeit Gesundheit und Soziales,,,,,,körpernah, körperbezogen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 in Bezug auf Ein- und Rückreisende – Coronaeinreiseverordnung,CoronaEinreiseVO,11.08.20,12.08.20,31.08.20,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur Neuregelung der Bestimmungen zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 im Bereich der Betreuungsinfrastruktur,,11.08.20,12.08.20, 17.08.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur Änderung der Coronaschutzverordnung vom 11. August 2020,,13.08.20,14.08.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berichtigung der Coronabetreuungsverordnung Vom 12. August 2020,,12.08.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berichtigung der Berichtigung der Coronabetreuungsverordnung Vom 20. August 2020,,20.08.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung des Ministeriums für Arbeit, Gesundheit und Soziales zur Vermeidung weiterer Infektionsgeschehen mit dem Coronavirus SARS-CoV-2 in Großbetrieben der Fleischwirtschaft,CoronaFleischwirtschaftVO,28.08.20,29.08.20,30.09.20,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 – Coronaschutzverordnung,CoronaSchVO,31.08.20,01.09.20,15.09.20,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 im Bereich der Betreuungsinfrastruktur – Coronabetreuungsverordnung,CoronaBetrVO,31.08.20,01.09.20,15.09.20,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 in Bezug auf Ein- und Rückreisende – Coronaeinreiseverordnung,CoronaEinreiseVO,31.08.20,01.09.20,15.09.20,Arbeit Gesundheit und Soziales,,,,,,Aussteigekarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 – Coronaschutzverordnung,CoronaSchVO,15.09.20,16.09.20,30.09.20,Arbeit Gesundheit und Soziales,,,,,,7-Tages-Inzidenz, Wert von 35, Zahl der Neuinfektionen,50, Zugangsbeschränkungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 im Bereich der Betreuungsinfrastruktur – Coronabetreuungsverordnung,CoronaBetrVO,15.09.20,16.09.20,30.09.20,Arbeit Gesundheit und Soziales,,,,,,aus medizinischen Gründen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 in Bezug auf Ein- und Rückreisende – Coronaeinreiseverordnung,CoronaEinreiseVO,15.09.20,16.09.20,30.09.20,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur Änderung der Coronaeinreiseverordnung vom 15. September 2020,CoronaEinreiseVO,18.09.20,19.09.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur Änderung der Verordnung des Ministeriums für Arbeit, Gesundheit und Soziales zur Vermeidung weiterer Infektionsgeschehen mit dem Coronavirus SARS-CoV-2 in Großbetrieben der Fleischwirtschaft,CoronaFleischwirtschaftVO,25.09.20,26.09.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 – Coronaschutzverordnung,CoronaSchVO,30.09.20,01.10.20,31.10.20,Arbeit Gesundheit und Soziales,,,,,,Luftreinigung, Luftfilterung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 im Bereich der Betreuungsinfrastruktur – Coronabetreuungsverordnung,CoronaBetrVo,30.09.20,01.10.20,31.10.20, 01.12.20,Arbeit Gesundheit und Soziales,,,,,,Kontaktpersonen, Vor-Ort-Betrieb, Öffnungskonzepte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 in Bezug auf Ein- und Rückreisende – Coronaeinreiseverordnung,CoronaEinreiseVO,30.09.20,01.10.20,31.10.20,Arbeit Gesundheit und Soziales,,,,,,48-Stunden-Frist, weniger als 72 Stunden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur Änderung der Coronaeinreiseverordnung vom 30. September 2020,,01.10.20,02.10.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zweite Verordnung zur Änderung der Coronaeinreiseverordnung vom 30. September 2020 Vom 6. Oktober 2020,,06.10.20,07.10.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berichtigung der Coronaschutzverordnung Vom 10. September 2020,,10.09.20,,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur Änderung der Coronaschutzverordnung vom 30. September 2020,,13.10.20,14.10.20,,Arbeit Gesundheit und Soziales,,,,,,Höchstteilnehmerzahl, Eindämmung des Infektionsgeschehens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zweite Verordnung zur Änderung der Coronaschutzverordnung vom 30. September 2020 ,,16.10.20,17.10.20,,Arbeit Gesundheit und Soziales,,,,,,private Feiern, Gefährdungsstufe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur Änderung der Coronabetreuungsverordnung vom 30. September 2020,,21.10.20,26.10.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dritte Verordnung zur Änderung der Coronaschutzverordnung vom 30. September 2020 ,,29.10.20,30.10.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dritte Verordnung zur Änderung der Coronaeinreiseverordnung vom 30. September 2020,,29.10.20,30.10.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zweite Verordnung zur Änderung der Verordnung des Ministeriums für Arbeit, Gesundheit und Soziales zur Vermeidung weiterer Infektionsgeschehen mit dem Coronavirus SARS-CoV-2 in Großbetrieben der Fleischwirtschaft,,29.10.20,31.10.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2,CoronaSchVO,30.10.20,02.11.20,30.11.20, 31.12.20, 03.01.21,Arbeit Gesundheit und Soziales,,,,,,Infektionswege, körpernahe Dienstleistungen, Lüftung, Isolation, FFP2-Maske, KN95-Maske, N95-Maske,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berichtigung der Zweiten Verordnung zur Änderung der Verordnung des Ministeriums für Arbeit, Gesundheit und Soziales zur Vermeidung weiterer Infektionsgeschehen mit dem Coronavirus SARS-CoV-2 in Großbetrieben der Fleischwirtschaft,,30.10.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zweite Verordnung zur Änderung der Corona-Epidemie-Hochschulverordnung,,31.10.20,01.11.20,,Kultur und Wissenschaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur Änderung der Coronaschutzverordnung vom 30. Oktober 2020,,04.11.20,05.11.20,,Arbeit Gesundheit und Soziales,,,,,,zwischen 23 Uhr und 6 Uhr, Verkauf von alkoholischen Getränken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur weiteren Verlängerung der zulässigen Befristungsdauer nach §§ 39 Absatz 5, 44 Absatz 8 Hochschulgesetz und §§ 32 Absatz 4, 37 Absatz 7 Kunsthochschulgesetz aus Anlass der COVID-19-Pandemie an Hochschulen – Hochschul-Befristungsdauer-Verlängerungsverordnung,HSBdVV,05.11.20,06.11.20,31.12.21,Kultur und Wissenschaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 in Bezug auf Ein- und Rückreisende – Coronaeinreiseverordnung,CoronaEinreiseVO,06.11.20,09.11.20,30.11.20, 31.12.20, 03.01.21,Arbeit Gesundheit und Soziales,,,,,,digitale Einreiseanmeldung, Verlust des Geruchs- und Geschmackssinns, Husten, Fieber, Schnupfen, Reisewarnung, Testzentrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zweite Verordnung zur Änderung der Coronaschutzverordnung vom 30. Oktober 2020,,09.11.20,10.11.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zweite Verordnung zur Änderung der Coronabetreuungsverordnung vom 30. September 2020 ,,09.11.20,10.11.20,,Arbeit Gesundheit und Soziales,,,,,,Antigen-Schnelltest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berichtigung der Zweiten Verordnung zur Änderung der Corona-Epidemie-Hochschulverordnung,,13.11.20,,,Kultur und Wissenschaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung des Ministeriums für Arbeit, Gesundheit und Soziales zur Vermeidung weiterer Infektionsgeschehen mit dem Coronavirus SARS-CoV-2 in Großbetrieben der Fleischwirtschaft ,CoronaFleischwirtschaftVO,27.11.20,28.11.20,15.12.20,Arbeit Gesundheit und Soziales,,,,,,PCR-Testung, Poolverfahren, maximale Tragedauer, Kontaktpersonennachverfolgung, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur Regelung von Absonderungen nach § 30 des Infektionsschutzgesetzes – Quarantäneverordnung NRW,Quarantäneverordnung NRW,30.11.20,01.12.20,20.12.20,Arbeit Gesundheit und Soziales,,,,,, Quarantäne, erlaubter Außenbereich, Coronaschnelltest, positives Test-Ergebnis, Primärfall, feste Teams, mehr als 15 Minuten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 im Bereich der Betreuungsinfrastruktur – Coronabetreuungsverordnung,CoronaBetrVO,30.11.20,01.12.20,20.12.20,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 – Coronaschutzverordnung,CoronaSchVO,30.11.20,01.12.20,20.12.20,Arbeit Gesundheit und Soziales,,,,,,Höchstens fünf Personen, Kinder bis 14 Jahre, Berechnung der Personenzahl,  Eingangskontrolle, unter freiem Himmel, Kontaktflächen, begrenzt viruzid, Vorgaben zur Belüftungsregelung,  Lüftung mit Frischluft, Besuchskonzept, Joggen, Gesamtverkaufsfläche von mehr als 800 Quadratmetern, Telefon- oder Videokonferenzen, touristische Zwecke, über einem Wert von 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur Änderung von Rechtsverordnungen zum Schutz vor dem Coronavirus SARS-CoV-2,,09.12.20,09.12.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dritte Verordnung zur Änderung der Corona-Epidemie-Hochschulverordnung,,11.12.20,12.12.20, 18.04.20,,Kultur und Wissenschaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur Änderung der Coronaschutzverordnung vom 30. November 2020,,14.12.20,16.12.20,,Arbeit Gesundheit und Soziales,,,,,,Alkoholverbot, PoC-Antigen-Schnelltest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur Änderung der Coronabetreuungsverordnung vom 30. November 2020,,15.12.20,16.12.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zweite Verordnung zur Änderung der Coronaschutzverordnung vom 30. November 2020 mit Begründung zur Coronaschutzverordnung (CoronaSchVO) vom 30. November 2020, in der ab 16. Dezember 2020 gültigen Fassung,,15.12.20,16.12.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur Änderung der Verordnung des Ministeriums für Arbeit, Gesundheit und Soziales zur Vermeidung weiterer Infektionsgeschehen mit dem Coronavirus SARS-CoV-2 in Großbetrieben der Fleischwirtschaft,,15.12.20,16.12.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung des Ministeriums für Arbeit, Gesundheit und Soziales zur Vermeidung weiterer Infektionsgeschehen mit dem Coronavirus SARS-CoV-2 in Großbetrieben der Fleischwirtschaft,CoronaFleischwirtschaftVO,16.12.20,17.12.20,10.01.21,Arbeit Gesundheit und Soziales,,,,,,maximal 48 Stunden altes negatives Testergebnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dritte Verordnung zur Änderung der Coronaschutzverordnung vom 30. November 2020,,17.12.20,18.12.20,,Arbeit Gesundheit und Soziales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zur Regelung von Absonderungen nach § 30 des Infektionsschutzgesetzes (Quarantäneverordnung NRW),Quarantäneverordnung NRW,18.12.20,21.12.20,18.01.21,Arbeit Gesundheit und Soziales,,,,,,positiver Coronaschnelltest, Clusterquarantäne, Corona-Symptomatik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verordnung zum Schutz vor Neuinfizierungen mit dem Coronavirus SARS-CoV-2 in Bezug auf Ein- und Rückreisende aus dem Vereinigten Königreich und Südafrika – Coronaeinreiseverordnung,CoronaEinrVK-VO,20.12.20,21.12.20,17.01.21, 16.01.21,Arbeit Gesundheit und Soziales,,,,,,Einreise auf dem Luftweg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
